cbeNameIndex,name,category_code,category_name,effect_mode_hex,raw_u4_plus08,raw_u5_plus10_decay,raw_u6_plus12,raw_u7_plus14,resolved_initial_penetration,resolved_source,hit_rate,hit_decay_per_hex,malfunction_rate,malfunction_modifier,profiles,linked_cbe_indices,record_offset
101,PF30mK,11,panzerfaust,0x4002,0,0,195,0,195,u6/+12,80,40,6,0,成形炸薬・特殊効果=195 decay=0 (u6/+12),,0x1DF840
102,PF30mG,11,panzerfaust,0x4002,0,0,220,0,220,u6/+12,80,40,10,0,成形炸薬・特殊効果=220 decay=0 (u6/+12),,0x1DF880
103,PF60m,11,panzerfaust,0x4002,0,0,220,0,220,u6/+12,80,30,6,0,成形炸薬・特殊効果=220 decay=0 (u6/+12),,0x1DF8C0
104,PF100m,11,panzerfaust,0x4002,0,0,220,0,220,u6/+12,80,20,6,0,成形炸薬・特殊効果=220 decay=0 (u6/+12),,0x1DF900
105,RPzB43,10,rocket_launcher,0x0000,0,0,200,140,200,u6/+12,60,15,6,0,成形炸薬・特殊効果=200 decay=0 (u6/+12) | 榴弾・爆風・炸薬=140 decay=0 (u7/+14),301,0x1DF940
106,RPzB54,10,rocket_launcher,0x0000,0,0,200,140,200,u6/+12,60,15,3,0,成形炸薬・特殊効果=200 decay=0 (u6/+12) | 榴弾・爆風・炸薬=140 decay=0 (u7/+14),"301,302",0x1DF980
107,RPzB54/1,10,rocket_launcher,0x0000,0,0,200,140,200,u6/+12,65,15,3,0,成形炸薬・特殊効果=200 decay=0 (u6/+12) | 榴弾・爆風・炸薬=140 decay=0 (u7/+14),302,0x1DF9C0
108,FmW35,9,flamethrower,0x400B,0,0,125,150,0,,80,32,3,0,火炎直撃=125 decay=0 (u6/+12) | 火炎範囲=150 decay=0 (u7/+14),,0x1DFA00
109,FmW40,9,flamethrower,0x400B,0,0,125,150,0,,75,32,6,0,火炎直撃=125 decay=0 (u6/+12) | 火炎範囲=150 decay=0 (u7/+14),,0x1DFA40
110,FmW41,9,flamethrower,0x400B,0,0,125,150,0,,77,32,5,0,火炎直撃=125 decay=0 (u6/+12) | 火炎範囲=150 decay=0 (u7/+14),,0x1DFA80
111,FmW42,9,flamethrower,0x400B,0,0,125,150,0,,77,32,3,0,火炎直撃=125 decay=0 (u6/+12) | 火炎範囲=150 decay=0 (u7/+14),,0x1DFAC0
165,Very,3,smoke_grenade,0x0000,0,0,0,0,0,,0,0,2,0,,352,0x1E0840
181,PIAT,10,rocket_launcher,0x0000,0,0,160,120,160,u6/+12,60,25,3,0,成形炸薬・特殊効果=160 decay=0 (u6/+12) | 榴弾・爆風・炸薬=120 decay=0 (u7/+14),360,0x1E0C40
182,No1 Mk1,9,flamethrower,0x400B,0,0,125,150,0,,69,32,3,0,火炎直撃=125 decay=0 (u6/+12) | 火炎範囲=150 decay=0 (u7/+14),,0x1E0C80
243,M6A5 HR,18,ammo,0x4003,0,0,20,0,0,,0,0,0,0,成形炸薬・特殊効果=20 decay=0 (u6/+12),"26,27,37",0x1E1BC0
244,M9A1 RfG,19,rifle_grenade,0x4002,0,0,125,0,125,u6/+12,0,10,2,0,成形炸薬・特殊効果=125 decay=0 (u6/+12),"8,12,13,37",0x1E1C00
245,Mk2 GPA,19,rifle_grenade,0x8001,0,0,0,110,110,u7/+14,0,15,4,0,榴弾・爆風・炸薬=110 decay=0 (u7/+14),"8,12,13,37",0x1E1C40
246,Mk2 Grd,20,hand_grenade,0x0001,130,0,0,130,130,u4/+08,0,30,3,0,榴弾・爆風・炸薬=130 decay=0 (u4/+08) | 榴弾・爆風・炸薬=130 decay=0 (u7/+14),,0x1E1C80
247,Mk3A1Grd,20,hand_grenade,0x0001,110,0,0,110,110,u4/+08,0,20,3,0,榴弾・爆風・炸薬=110 decay=0 (u4/+08) | 榴弾・爆風・炸薬=110 decay=0 (u7/+14),,0x1E1CC0
248,M1 CDB,22,demolition,0x0001,0,0,0,200,200,u7/+14,0,30,5,0,榴弾・爆風・炸薬=200 decay=0 (u7/+14),,0x1E1D00
249,WP M15,23,smoke,0x0000,0,0,0,0,0,,0,0,5,0,,,0x1E1D40
267,Wkor361,19,rifle_grenade,0x8001,0,0,0,105,105,u7/+14,0,35,2,0,榴弾・爆風・炸薬=105 decay=0 (u7/+14),"52,54,32",0x1E21C0
268,Wgrp326,19,rifle_grenade,0x8001,0,0,0,90,90,u7/+14,0,20,0,0,榴弾・爆風・炸薬=90 decay=0 (u7/+14),"52,54,32",0x1E2200
270,SprGr.Z,19,rifle_grenade,0x4003,0,0,110,110,110,u6/+12,0,30,0,0,成形炸薬・特殊効果=110 decay=0 (u6/+12) | 榴弾・爆風・炸薬=110 decay=0 (u7/+14),32,0x1E2280
271,Pzwk42,19,rifle_grenade,0x4002,0,0,130,0,130,u6/+12,0,40,0,0,成形炸薬・特殊効果=130 decay=0 (u6/+12),37,0x1E22C0
303,GPzgr,19,rifle_grenade,0x4002,0,0,125,0,125,u6/+12,0,10,2,0,成形炸薬・特殊効果=125 decay=0 (u6/+12),32,0x1E2AC0
304,GSprgr,19,rifle_grenade,0x8001,0,0,0,100,100,u7/+14,0,10,2,0,榴弾・爆風・炸薬=100 decay=0 (u7/+14),32,0x1E2B00
305,StiGr24,20,hand_grenade,0x0001,110,0,0,110,110,u4/+08,0,20,3,0,榴弾・爆風・炸薬=110 decay=0 (u4/+08) | 榴弾・爆風・炸薬=110 decay=0 (u7/+14),,0x1E2B40
306,StiGr39,20,hand_grenade,0x0001,120,0,0,120,120,u4/+08,0,20,3,0,榴弾・爆風・炸薬=120 decay=0 (u4/+08) | 榴弾・爆風・炸薬=120 decay=0 (u7/+14),,0x1E2B80
307,StiGr43,20,hand_grenade,0x0001,120,0,0,120,120,u4/+08,0,20,3,0,榴弾・爆風・炸薬=120 decay=0 (u4/+08) | 榴弾・爆風・炸薬=120 decay=0 (u7/+14),,0x1E2BC0
308,EihGr39,20,hand_grenade,0x0001,105,0,0,105,105,u4/+08,0,20,3,0,榴弾・爆風・炸薬=105 decay=0 (u4/+08) | 榴弾・爆風・炸薬=105 decay=0 (u7/+14),,0x1E2C00
309,GebLad,20,hand_grenade,0x0001,180,0,0,180,180,u4/+08,0,50,3,0,榴弾・爆風・炸薬=180 decay=0 (u4/+08) | 榴弾・爆風・炸薬=180 decay=0 (u7/+14),,0x1E2C40
310,Haft-Hl3,21,magnetic_mine,0x4002,0,0,240,0,240,u6/+12,0,60,5,0,成形炸薬・特殊効果=240 decay=0 (u6/+12),,0x1E2C80
311,GebLad 3,22,demolition,0x0001,0,0,0,160,160,u7/+14,0,30,5,0,榴弾・爆風・炸薬=160 decay=0 (u7/+14),,0x1E2CC0
312,NbK39,23,smoke,0x0000,0,0,0,0,0,,0,0,5,0,,,0x1E2D00
328,SRCM m35,20,hand_grenade,0x0001,98,0,0,98,98,u4/+08,0,15,8,0,榴弾・爆風・炸薬=98 decay=0 (u4/+08) | 榴弾・爆風・炸薬=98 decay=0 (u7/+14),,0x1E3100
329,Breda 35,20,hand_grenade,0x0001,100,0,0,100,100,u4/+08,0,15,8,0,榴弾・爆風・炸薬=100 decay=0 (u4/+08) | 榴弾・爆風・炸薬=100 decay=0 (u7/+14),,0x1E3140
330,OTO m35,20,hand_grenade,0x0001,95,0,0,95,95,u4/+08,0,15,6,0,榴弾・爆風・炸薬=95 decay=0 (u4/+08) | 榴弾・爆風・炸薬=95 decay=0 (u7/+14),,0x1E3180
345,Grd F1,20,hand_grenade,0x0001,130,0,0,130,130,u4/+08,0,30,3,0,榴弾・爆風・炸薬=130 decay=0 (u4/+08) | 榴弾・爆風・炸薬=130 decay=0 (u7/+14),,0x1E3540
346,Grd O.F.,20,hand_grenade,0x0001,105,0,0,105,105,u4/+08,0,20,3,0,榴弾・爆風・炸薬=105 decay=0 (u4/+08) | 榴弾・爆風・炸薬=105 decay=0 (u7/+14),,0x1E3580
361,No36M,20,hand_grenade,0x0001,130,0,0,130,130,u4/+08,0,33,3,0,榴弾・爆風・炸薬=130 decay=0 (u4/+08) | 榴弾・爆風・炸薬=130 decay=0 (u7/+14),,0x1E3940
410,37mmGun M5,27,gun,0x0005,143,1,0,90,143,u4/+08,90,1,2,0,通常徹甲・直射=143 decay=1 (u4/+08) | 榴弾・爆風・炸薬=90 decay=0 (u7/+14),,0x1E4580
411,37mmGun M5,27,gun,0x0004,143,1,0,0,143,u4/+08,90,1,2,0,通常徹甲・直射=143 decay=1 (u4/+08),,0x1E45C0
412,37mmGun M6,27,gun,0x0005,145,1,0,90,145,u4/+08,90,1,2,0,通常徹甲・直射=145 decay=1 (u4/+08) | 榴弾・爆風・炸薬=90 decay=0 (u7/+14),,0x1E4600
413,37mmGun M6,27,gun,0x0005,145,1,0,90,145,u4/+08,90,1,2,0,通常徹甲・直射=145 decay=1 (u4/+08) | 榴弾・爆風・炸薬=90 decay=0 (u7/+14),,0x1E4640
414,57mmGun M1,27,gun,0x0004,162,1,0,0,162,u4/+08,80,1,2,0,通常徹甲・直射=162 decay=1 (u4/+08),,0x1E4680
415,75mm M1897,27,gun,0x0005,155,1,0,120,155,u4/+08,70,1,3,0,通常徹甲・直射=155 decay=1 (u4/+08) | 榴弾・爆風・炸薬=120 decay=0 (u7/+14),,0x1E46C0
416,75mmGun M2,27,gun,0x0005,150,1,0,120,150,u4/+08,65,1,3,0,通常徹甲・直射=150 decay=1 (u4/+08) | 榴弾・爆風・炸薬=120 decay=0 (u7/+14),,0x1E4700
417,75mmGun M3,27,gun,0x0005,155,1,0,120,155,u4/+08,70,1,2,0,通常徹甲・直射=155 decay=1 (u4/+08) | 榴弾・爆風・炸薬=120 decay=0 (u7/+14),,0x1E4740
418,75mmGun M5/6,27,gun,0x0005,155,1,0,120,155,u4/+08,70,1,3,0,通常徹甲・直射=155 decay=1 (u4/+08) | 榴弾・爆風・炸薬=120 decay=0 (u7/+14),,0x1E4780
419,75mmHow M2/3,28,howitzer,0x8001,0,0,0,120,0,,60,1,3,0,榴弾・爆風・炸薬=120 decay=0 (u7/+14),,0x1E47C0
420,76mmGun M1A1,27,gun,0x0005,175,1,0,95,175,u4/+08,80,1,2,0,通常徹甲・直射=175 decay=1 (u4/+08) | 榴弾・爆風・炸薬=95 decay=0 (u7/+14),,0x1E4800
421,3inGun M5,27,gun,0x0005,175,1,0,120,175,u4/+08,80,1,3,0,通常徹甲・直射=175 decay=1 (u4/+08) | 榴弾・爆風・炸薬=120 decay=0 (u7/+14),,0x1E4840
422,3inGun M7,27,gun,0x0005,175,1,0,120,175,u4/+08,80,1,3,0,通常徹甲・直射=175 decay=1 (u4/+08) | 榴弾・爆風・炸薬=120 decay=0 (u7/+14),,0x1E4880
423,90mmGun M3,27,gun,0x0005,195,1,0,130,195,u4/+08,80,1,3,0,通常徹甲・直射=195 decay=1 (u4/+08) | 榴弾・爆風・炸薬=130 decay=0 (u7/+14),,0x1E48C0
424,105mmHow T8,28,howitzer,0x8001,0,0,0,140,0,,70,2,3,0,榴弾・爆風・炸薬=140 decay=0 (u7/+14),,0x1E4900
427,50mm KwK39,27,gun,0x0005,148,1,0,100,148,u4/+08,80,1,2,0,通常徹甲・直射=148 decay=1 (u4/+08) | 榴弾・爆風・炸薬=100 decay=0 (u7/+14),,0x1E49C0
428,75mm KwK37,27,gun,0x4003,0,0,150,120,0,,60,2,2,0,成形炸薬・特殊効果=150 decay=0 (u6/+12) | 榴弾・爆風・炸薬=120 decay=0 (u7/+14),,0x1E4A00
429,75mm StK37,27,gun,0x0005,134,1,0,120,134,u4/+08,60,2,2,0,通常徹甲・直射=134 decay=1 (u4/+08) | 榴弾・爆風・炸薬=120 decay=0 (u7/+14),,0x1E4A40
430,75mm KwK40,27,gun,0x0005,174,1,0,120,174,u4/+08,80,1,2,0,通常徹甲・直射=174 decay=1 (u4/+08) | 榴弾・爆風・炸薬=120 decay=0 (u7/+14),,0x1E4A80
431,75mm KwK40,27,gun,0x0005,177,1,0,120,177,u4/+08,80,1,2,0,通常徹甲・直射=177 decay=1 (u4/+08) | 榴弾・爆風・炸薬=120 decay=0 (u7/+14),,0x1E4AC0
432,75mm PaK39,27,gun,0x0005,177,1,0,120,177,u4/+08,80,1,3,0,通常徹甲・直射=177 decay=1 (u4/+08) | 榴弾・爆風・炸薬=120 decay=0 (u7/+14),,0x1E4B00
433,75mm PaK40,27,gun,0x0005,177,1,0,120,177,u4/+08,80,1,3,0,通常徹甲・直射=177 decay=1 (u4/+08) | 榴弾・爆風・炸薬=120 decay=0 (u7/+14),,0x1E4B40
434,75mm StK40,27,gun,0x0005,174,1,0,120,174,u4/+08,80,1,2,0,通常徹甲・直射=174 decay=1 (u4/+08) | 榴弾・爆風・炸薬=120 decay=0 (u7/+14),,0x1E4B80
435,75mm KwK42,27,gun,0x0005,198,1,0,120,198,u4/+08,90,1,2,0,通常徹甲・直射=198 decay=1 (u4/+08) | 榴弾・爆風・炸薬=120 decay=0 (u7/+14),,0x1E4BC0
436,75mm PaK42,27,gun,0x0005,198,1,0,120,198,u4/+08,90,1,2,0,通常徹甲・直射=198 decay=1 (u4/+08) | 榴弾・爆風・炸薬=120 decay=0 (u7/+14),,0x1E4C00
437,80mm GrW34,28,howitzer,0x8001,0,0,0,130,0,,60,2,2,0,榴弾・爆風・炸薬=130 decay=0 (u7/+14),,0x1E4C40
438,88mm FlaK36,27,gun,0x0005,193,1,0,130,193,u4/+08,80,1,2,0,通常徹甲・直射=193 decay=1 (u4/+08) | 榴弾・爆風・炸薬=130 decay=0 (u7/+14),,0x1E4C80
439,88mm KwK36,27,gun,0x0005,188,1,0,130,188,u4/+08,80,1,2,0,通常徹甲・直射=188 decay=1 (u4/+08) | 榴弾・爆風・炸薬=130 decay=0 (u7/+14),,0x1E4CC0
440,88mm KwK43,27,gun,0x0005,244,1,0,130,244,u4/+08,90,1,2,0,通常徹甲・直射=244 decay=1 (u4/+08) | 榴弾・爆風・炸薬=130 decay=0 (u7/+14),,0x1E4D00
441,88mm PaK43,27,gun,0x0005,244,1,0,130,244,u4/+08,90,1,2,0,通常徹甲・直射=244 decay=1 (u4/+08) | 榴弾・爆風・炸薬=130 decay=0 (u7/+14),,0x1E4D40
442,105mm StH42,27,gun,0x4003,0,0,160,140,0,,70,1,2,0,成形炸薬・特殊効果=160 decay=0 (u6/+12) | 榴弾・爆風・炸薬=140 decay=0 (u7/+14),,0x1E4D80
443,128mm PaK44,27,gun,0x0005,230,1,0,150,230,u4/+08,80,1,3,0,通常徹甲・直射=230 decay=1 (u4/+08) | 榴弾・爆風・炸薬=150 decay=0 (u7/+14),,0x1E4DC0
444,150mm StH43,28,howitzer,0x8001,0,0,0,150,0,,60,1,2,0,榴弾・爆風・炸薬=150 decay=0 (u7/+14),,0x1E4E00
446,37/40 Cann.,27,gun,0x0005,125,1,0,90,125,u4/+08,70,1,3,0,通常徹甲・直射=125 decay=1 (u4/+08) | 榴弾・爆風・炸薬=90 decay=0 (u7/+14),,0x1E4E80
447,47/32 Cann.,27,gun,0x0005,135,1,0,90,135,u4/+08,70,1,3,0,通常徹甲・直射=135 decay=1 (u4/+08) | 榴弾・爆風・炸薬=90 decay=0 (u7/+14),,0x1E4EC0
448,75/18 Obice,27,gun,0x0005,135,1,0,120,135,u4/+08,60,1,3,0,通常徹甲・直射=135 decay=1 (u4/+08) | 榴弾・爆風・炸薬=120 decay=0 (u7/+14),,0x1E4F00
449,37mm SA18,27,gun,0x0005,120,1,0,90,120,u4/+08,60,2,2,0,通常徹甲・直射=120 decay=1 (u4/+08) | 榴弾・爆風・炸薬=90 decay=0 (u7/+14),,0x1E4F40
450,6pdrGun Mk2,27,gun,0x0004,162,1,0,0,162,u4/+08,80,1,2,0,通常徹甲・直射=162 decay=1 (u4/+08),,0x1E4F80
451,6pdrGun Mk3,27,gun,0x0004,162,1,0,0,162,u4/+08,80,1,3,0,通常徹甲・直射=162 decay=1 (u4/+08),,0x1E4FC0
452,75mmGun Mk5,27,gun,0x0005,155,1,0,120,155,u4/+08,70,1,2,0,通常徹甲・直射=155 decay=1 (u4/+08) | 榴弾・爆風・炸薬=120 decay=0 (u7/+14),,0x1E5000
453,3inGun Mk1,27,gun,0x0001,0,0,0,120,0,,60,1,2,0,榴弾・爆風・炸薬=120 decay=0 (u7/+14),,0x1E5040
454,37mmPaK35/36,27,gun,0x0005,127,1,0,90,127,u4/+08,80,1,2,0,通常徹甲・直射=127 decay=1 (u4/+08) | 榴弾・爆風・炸薬=90 decay=0 (u7/+14),,0x1E5080
