wpns_code,cbeNameIndex,plCategory,statTemplate,name,type,rng,acc,dmg,cap,mag,ap,rld,wgt,plAmmoLabel,acceptsAmmoPlIndices
pl_17,17,smg,smg_45,M1A1 SMG,bullet,5,60,41,30,4,2,1,5,45ACP20T/30T/50T/30G — トンプソン・グリース系箱弾,"[234, 235, 236, 237]"
pl_18,18,smg,smg_45,M3 SMG,bullet,5,60,41,30,4,2,1,5,3006-20J,[238]
pl_19,19,smg,smg_45,M3A1 SMG,bullet,5,60,41,30,4,2,1,5,3006-20J,[238]
pl_20,20,mg,mg42,M1919A6 LMG,bullet,8,45,25,50,99,2,3,12,.30-06 ベルト（M1919A6）,"[230, 238, 239, 240]"
pl_21,21,mg,mg42,M1941   LMG,bullet,8,45,25,50,99,2,3,12,3006-200,[239]
pl_22,22,mg,mg42,M1917A1 MMG,bullet,8,45,25,50,99,2,3,12,.30-06 ベルト（M1917A1）,"[230, 238, 239, 240]"
pl_23,23,mg,mg42,M1919A4 MMG,bullet,8,45,25,50,99,2,3,12,.30-06 ベルト（M1919A4）,"[230, 238, 239, 240]"
pl_24,24,mg,mg42,M2 HB HMG,bullet,8,45,25,50,99,2,3,12,.50 BMG / .30 ベルト（M2HB）,"[241, 239, 240]"
pl_25,25,rocket,m8_rocket,M1 RL,rocket,12,50,45,3,3,3,0,0,M6A5 HR,[243]
pl_26,26,rocket,m8_rocket,M1A1 RL,rocket,12,50,45,3,3,3,0,0,M6A5 HR,[243]
pl_27,27,rocket,m8_rocket,M9 RL,rocket,12,50,45,3,3,3,0,0,M6A5 HR,[243]
pl_28,28,flamethrower,flame,E1R1 Fl,shell,3,55,55,3,1,2,0,8,flame 非装填/ダミ行（1件。explicit で上書き）,[229]
pl_29,29,flamethrower,flame,M1A1 Fl,shell,3,55,55,3,1,2,0,8,flame 非装填/ダミ行（1件。explicit で上書き）,[229]
pl_30,30,flamethrower,flame,M2A1-7 Fl,shell,3,55,55,3,1,2,0,8,flame 非装填/ダミ行（1件。explicit で上書き）,[229]
pl_31,31,gear,part_gear,M2 Tripod,part,,,,,,,,,補助装備（主兵装弾なし。装填正本: explicit のみ）,[]
pl_32,32,gear,part_gear,M1917 Tripod,part,,,,,,,,,補助装備（主兵装弾なし。装填正本: explicit のみ）,[]
pl_33,33,gear,part_gear,M3 Tripod,part,,,,,,,,,補助装備（主兵装弾なし。装填正本: explicit のみ）,[]
pl_34,34,gear,part_gear,M1 Ammobox,part,,,,,,,,,3006-250 / 50M2-110,"[240, 241]"
pl_35,35,gear,part_gear,M2HB Ammobox,part,,,,,,,,,M6A1 HR,[242]
pl_36,36,gear,part_gear,M3 Binocular,part,,,,,,,,,補助装備（主兵装弾なし。装填正本: explicit のみ）,[]
pl_37,37,gear,part_gear,SCR536,part,,,,,,,,,補助装備（主兵装弾なし。装填正本: explicit のみ）,[]
pl_38,38,gear,part_gear,Med Bag,part,,,,,,,,,補助装備（主兵装弾なし。装填正本: explicit のみ）,[]
pl_39,39,gear,part_gear,Film,part,,,,,,,,,補助装備（主兵装弾なし。装填正本: explicit のみ）,[]
pl_40,40,gear,part_gear,Map Case,part,,,,,,,,,補助装備（主兵装弾なし。装填正本: explicit のみ）,[]
pl_41,41,pistol,m1911,C/96,bullet,3,70,30,7,3,2,1,1,7.63-10b,[256]
pl_42,42,pistol,m1911,C/96M712,bullet,3,70,30,7,3,2,1,1,9Pb-8L / 7.63-20b / 7.63-10b,"[258, 257, 256]"
pl_43,43,pistol,luger,P08,bullet,3,75,25,8,2,2,1,1,9Pb 行 — 厳密はバイナリ。現状9mm Para クラスタ,"[258, 265, 278, 279, 280, 281, 282, 283, 284, 285, 286, 320, 321, 322, 323, 355, 378, 379, 384, 388, 390]"
pl_44,44,pistol,m1911,M1934,bullet,3,70,30,7,3,2,1,1,32ACP-7B,[260]
pl_45,45,pistol,m1911,Beholla,bullet,3,70,30,7,3,2,1,1,32ACP-8S,[261]
pl_46,46,pistol,m1911,M38H,bullet,3,70,30,7,3,2,1,1,32ACP-8W,[262]
pl_47,47,pistol,m1911,PP,bullet,3,70,30,7,3,2,1,1,32ACP-7W,[263]
pl_48,48,pistol,m1911,PPK,bullet,3,70,30,7,3,2,1,1,32ACP-8H,[264]
pl_49,49,pistol,m1911,HSc,bullet,3,70,30,7,3,2,1,1,9Pb-8W,[265]
pl_50,50,pistol,luger,P38,bullet,3,75,25,8,2,2,1,1,FLeut41,[266]
pl_51,51,launcher_27,shell_27,27mmLeuP,shell,8,50,100,1,1,2,1,2,対応弾 FLeut41(266) + 共用 Wkor361(267),"[266, 267]"
pl_52,52,launcher_27,shell_27,27mmP42,shell,8,50,100,1,1,2,1,2,同上（PL 表記は 27mmP42 = 27mmLP42 相当）,"[266, 267]"
pl_53,53,launcher_27,shell_27,27mmKpfP,shell,8,50,100,1,1,2,1,2,27mm 仮,"[266, 267]"
pl_54,54,launcher_27,shell_27,27mmStuP,shell,8,50,100,1,1,2,1,2,Wkor361(267) — ユーザー: 3種ランチャーに Wkor が通る。StuP は主に 267,[267]
pl_55,55,rifle,m1,Gew98,bullet,7,85,76,8,6,2,1,4,7.92-10G,[273]
pl_56,56,rifle,m1,Kar98b,bullet,7,85,76,8,6,2,1,4,7.92-10G,[273]
pl_57,57,rifle,m1,Kar98k,bullet,7,85,76,8,6,2,1,4,7.92-10G,[273]
pl_58,58,sniper,k98_scope,Kar98k svw,bullet,9,95,72,5,5,2,2,5,7.92-5(272) / GPzgr(303) / GSprgr(304) — 厳格（ユーザー指定）,"[272, 303, 304]"
pl_59,59,rifle,m1,Gew29/40,bullet,7,85,76,8,6,2,1,4,7.92-10G,[273]
pl_60,60,rifle,m1,Gew33/40,bullet,7,85,76,8,6,2,1,4,7.92-10G,[273]
pl_61,61,rifle,m1,Gew98/40,bullet,7,85,76,8,6,2,1,4,7.92-10G,[273]
pl_62,62,rifle,m1,VG-1,bullet,7,85,76,8,6,2,1,4,7.92-101,[274]
pl_63,63,rifle,m1,VG-2,bullet,7,85,76,8,6,2,1,4,7.92-101,[274]
pl_64,64,rifle,m1,VK-98,bullet,7,85,76,8,6,2,1,4,7.92-10G,[273]
pl_65,65,rifle,m1,Gew41(W),bullet,7,85,76,8,6,2,1,4,7.92-10G,[273]
pl_66,66,rifle,m1,Gew41(M),bullet,7,85,76,8,6,2,1,4,7.92-10G,[273]
pl_67,67,rifle,m1,Gew43,bullet,7,85,76,8,6,2,1,4,7.92-10G / 7.92-101,"[273, 274]"
pl_68,68,rifle,m1,Kar43,bullet,7,85,76,8,6,2,1,4,7.92-10G / 7.92-101,"[273, 274]"
pl_69,69,sniper,k98_scope,Zf Kar98k,bullet,9,95,72,5,5,2,2,5,7.92-10G,[273]
pl_70,70,sniper,k98_scope,Zf Gew43,bullet,9,95,72,5,5,2,2,5,7.92-10G / 7.92-101,"[273, 274]"
pl_71,71,auto_rifle,bar,FG42/1,bullet,7,55,45,20,5,2,2,9,7.92-202 / 7.92-201,"[276, 275]"
pl_72,72,auto_rifle,bar,FG42/2,bullet,7,55,45,20,5,2,2,9,7.92k-30,[277]
pl_73,73,rifle,m1,MKb42(W),bullet,7,85,76,8,6,2,1,4,7.92x33 Kurz — 7.92k-30,[277]
pl_74,74,rifle,m1,MKb42(H),bullet,7,85,76,8,6,2,1,4,7.92x33 Kurz — 7.92k-30（30発マガジン）,[277]
pl_75,75,rifle,m1,MP43,bullet,7,85,76,8,6,2,1,4,7.92x33 Kurz — 7.92k-30,[277]
pl_76,76,rifle,m1,StG44,bullet,7,85,76,8,6,2,1,4,7.92x33 Kurz — 7.92k-30,[277]
pl_77,77,rifle,m1,VG1-5,bullet,7,85,76,8,6,2,1,4,7.92x33 Kurz — 7.92k-30,[277]
pl_78,78,smg,smg_9mm,MP28/2,bullet,5,60,41,30,4,2,1,5,9Pb-50S / 9Pb-32S / 9Pb-20E,"[280, 279, 281]"
pl_79,79,smg,smg_9mm,MP35/1,bullet,5,60,41,30,4,2,1,5,9Pb-32M / 9Pb-32B,"[285, 284]"
pl_80,80,smg,smg_9mm,EMP,bullet,5,60,41,30,4,2,1,5,9Pb-24B / 9Pb-32E,"[283, 282]"
pl_81,81,smg,smg_9mm,MP38,bullet,5,60,41,30,4,2,1,5,9Pb-32P,[286]
pl_82,82,smg,smg_9mm,MP40,bullet,5,60,41,30,4,2,1,5,9Pb-32P,[286]
pl_83,83,smg,smg_9mm,MP40/2,bullet,5,60,41,30,4,2,1,5,9Pb-32P,[286]
pl_84,84,smg,smg_9mm,MP41,bullet,5,60,41,30,4,2,1,5,9Pb-32P,[286]
pl_85,85,rifle,m1,Ger Potsdam,bullet,7,85,76,8,6,2,1,4,Pk16-100 / 303Br-47,"[287, 356]"
pl_86,86,smg,smg_9mm,MP3008,bullet,5,60,41,30,4,2,1,5,9Pb-32P,[286]
pl_87,87,mg,mg42,MG08/15,bullet,8,45,25,50,99,2,3,12,7.92f100,[288]
pl_88,88,mg,mg42,MG08/18,bullet,8,45,25,50,99,2,3,12,7.92f100,[288]
pl_89,89,mg,mg42,MG13,bullet,8,45,25,50,99,2,3,12,Pt13-75 / Dt15-75,"[291, 292]"
pl_90,90,mg,mg42,MG15,bullet,8,45,25,50,99,2,3,12,Gt34-50,[293]
pl_91,91,mg,mg42,MG34,bullet,8,45,25,50,99,2,3,12,Pt34-75 / 7.92-50,"[294, 295]"
pl_92,92,mg,mg42,MG34S,bullet,8,45,25,50,99,2,3,12,Pt34-75 / 7.92-50,"[294, 295]"
pl_93,93,mg,mg42,MG34/41,bullet,8,45,25,50,99,2,3,12,Pt34-75 / 7.92-50,"[294, 295]"
pl_94,94,mg,mg42,MG42,bullet,8,45,25,50,99,2,3,12,7.92 ベルト/断片。厳密1対1は未採取 — 7.92-* 行クラスタ。次版でバイナリ狭める,"[272, 273, 274, 275, 276, 277, 288, 289, 290, 295, 296, 389]"
pl_95,95,mg,mg42,MG08,bullet,8,45,25,50,99,2,3,12,7.92 帯仮,"[272, 273, 274, 275, 276, 277, 288, 289, 290, 295, 296, 389]"
pl_96,96,anti_tank,at_rifle,PzB38,bullet,5,60,90,4,2,2,2,6,Pa318-10,[298]
pl_97,97,anti_tank,at_rifle,PzB39,bullet,5,60,90,4,2,2,2,6,Pa318-10,[298]
pl_98,98,rifle,m1,GrB39,bullet,7,85,76,8,6,2,1,4,弾種未設定（map / overrides / explicit で要定義）,[]
pl_99,99,anti_tank,at_rifle,PzBSS41,bullet,5,60,90,4,2,2,2,6,20LS-5,[299]
pl_100,100,anti_tank,at_rifle,PzB41,bullet,5,60,90,4,2,2,2,6,20LS-10 / RPzB4322,"[300, 301]"
pl_101,101,rifle,m1,PF30mK,bullet,7,85,76,8,6,2,1,4,弾種未設定（map / overrides / explicit で要定義）,[]
pl_102,102,rifle,m1,PF30mG,bullet,7,85,76,8,6,2,1,4,弾種未設定（map / overrides / explicit で要定義）,[]
pl_103,103,rifle,m1,PF60m,bullet,7,85,76,8,6,2,1,4,弾種未設定（map / overrides / explicit で要定義）,[]
pl_104,104,rifle,m1,PF100m,bullet,7,85,76,8,6,2,1,4,弾種未設定（map / overrides / explicit で要定義）,[]
pl_105,105,anti_tank,at_rifle,RPzB43,bullet,5,60,90,4,2,2,2,6,RPzB4992,[302]
pl_106,106,anti_tank,at_rifle,RPzB54,bullet,5,60,90,4,2,2,2,6,RPzB4992,[302]
pl_107,107,anti_tank,at_rifle,RPzB54/1,bullet,5,60,90,4,2,2,2,6,at_rifle 非装填/ダミ行（1件。explicit で上書き）,[229]
pl_108,108,rifle,m1,FmW35,bullet,7,85,76,8,6,2,1,4,弾種未設定（map / overrides / explicit で要定義）,[]
pl_109,109,rifle,m1,FmW40,bullet,7,85,76,8,6,2,1,4,弾種未設定（map / overrides / explicit で要定義）,[]
pl_110,110,rifle,m1,FmW41,bullet,7,85,76,8,6,2,1,4,弾種未設定（map / overrides / explicit で要定義）,[]
pl_111,111,rifle,m1,FmW42,bullet,7,85,76,8,6,2,1,4,弾種未設定（map / overrides / explicit で要定義）,[]
pl_112,112,gear,part_gear,Laf34,part,,,,,,,,,補助装備（主兵装弾なし。装填正本: explicit のみ）,[]
pl_113,113,gear,part_gear,Laf42,part,,,,,,,,,補助装備（主兵装弾なし。装填正本: explicit のみ）,[]
pl_114,114,rifle,m1,Sch08,bullet,7,85,76,8,6,2,1,4,弾種未設定（map / overrides / explicit で要定義）,[]
pl_115,115,rifle,m1,PatrK41,bullet,7,85,76,8,6,2,1,4,Pa318-1 / 7.92m250,"[297, 296]"
pl_116,116,rifle,m1,PatrK15,bullet,7,85,76,8,6,2,1,4,7.92-25 / 7.92f250,"[290, 289]"
pl_117,117,gear,part_gear,Fernglas,part,,,,,,,,,補助装備（主兵装弾なし。装填正本: explicit のみ）,[]
pl_118,118,gear,part_gear,Feldfu.b,part,,,,,,,,,補助装備（主兵装弾なし。装填正本: explicit のみ）,[]
pl_119,119,gear,part_gear,SaniTo34,part,,,,,,,,,補助装備（主兵装弾なし。装填正本: explicit のみ）,[]
pl_120,120,gear,part_gear,Mkt35,part,,,,,,,,,補助装備（主兵装弾なし。装填正本: explicit のみ）,[]
pl_121,121,pistol,m1911,Bodeo mod89,bullet,3,70,30,7,3,2,1,1,9Gli-7,[316]
pl_122,122,pistol,m1911,Glisenti m10,bullet,3,70,30,7,3,2,1,1,380ACP-7,[317]
pl_123,123,pistol,m1911,Beretta m34,bullet,3,70,30,7,3,2,1,1,6.5-6,[318]
pl_124,124,rifle,m1,F. mod91,bullet,7,85,76,8,6,2,1,4,7.35-6,[319]
pl_125,125,rifle,m1,M. mod91,bullet,7,85,76,8,6,2,1,4,7.35-6,[319]
pl_126,126,rifle,m1,M. mod91/TS,bullet,7,85,76,8,6,2,1,4,7.35-6,[319]
pl_127,127,rifle,m1,F. mod38,bullet,7,85,76,8,6,2,1,4,9Pb-10,[320]
pl_128,128,rifle,m1,M. mod38,bullet,7,85,76,8,6,2,1,4,9Pb-10,[320]
pl_129,129,rifle,m1,M. mod38/TS,bullet,7,85,76,8,6,2,1,4,9Pb-10,[320]
pl_130,130,rifle,m1,F. mod38,bullet,7,85,76,8,6,2,1,4,7.35-6,[319]
pl_131,131,rifle,m1,M. mod38,bullet,7,85,76,8,6,2,1,4,7.35-6,[319]
pl_132,132,rifle,m1,M. mod38/TS,bullet,7,85,76,8,6,2,1,4,7.35-6,[319]
pl_133,133,smg,smg_9mm,MAB mod38A,bullet,5,60,41,30,4,2,1,5,6.5-20 / 9Pb-20 / 9Pb-30,"[324, 321, 322]"
pl_134,134,smg,smg_9mm,MAB mod38/42,bullet,5,60,41,30,4,2,1,5,6.5-20 / 9Pb-30 / 9Pb-40,"[324, 322, 323]"
pl_135,135,rifle,m1,Breda mod30,bullet,7,85,76,8,6,2,1,4,6.5-6(318) / 6.5-20(324) — 厳格（ユーザー指定）,"[318, 324]"
pl_136,136,rifle,m1,FR mod14,bullet,7,85,76,8,6,2,1,4,8Brd-20,[326]
pl_137,137,rifle,m1,FR mod14/35,bullet,7,85,76,8,6,2,1,4,弾種未設定（map / overrides / explicit で要定義）,[]
pl_138,138,rifle,m1,Breda mod37,bullet,7,85,76,8,6,2,1,4,8Brd-50,[327]
pl_139,139,rifle,m1,T. FR mod14,bullet,7,85,76,8,6,2,1,4,弾種未設定（map / overrides / explicit で要定義）,[]
pl_140,140,rifle,m1,T. Breda m37,bullet,7,85,76,8,6,2,1,4,弾種未設定（map / overrides / explicit で要定義）,[]
pl_141,141,rifle,m1,CM. FR 14/35,bullet,7,85,76,8,6,2,1,4,弾種未設定（map / overrides / explicit で要定義）,[]
pl_142,142,gear,part_gear,Binocolo,part,,,,,,,,,補助装備（主兵装弾なし。装填正本: explicit のみ）,[]
pl_143,143,rifle,m1,Lebel 92,bullet,7,85,76,8,6,2,1,4,32ACP-9,[335]
pl_144,144,pistol,m1911,Unique Mle17,bullet,3,70,30,7,3,2,1,1,7.65-8,[336]
pl_145,145,rifle,m1,Mle1935A,bullet,7,85,76,8,6,2,1,4,8M86-1,[337]
pl_146,146,rifle,m1,Mle1935S,bullet,7,85,76,8,6,2,1,4,8M86-1,[337]
pl_147,147,rifle,m1,F. Mle86/93,bullet,7,85,76,8,6,2,1,4,8M86-3,[338]
pl_148,148,rifle,m1,M. Mle92/27,bullet,7,85,76,8,6,2,1,4,8M86-5,[339]
pl_149,149,mg,mg42,F. Mle07/15,bullet,8,45,25,50,99,2,3,12,8M86-5,[339]
pl_150,150,rifle,m1,F. Mle16,bullet,7,85,76,8,6,2,1,4,7.5-5,[340]
pl_151,151,rifle,m1,M. Mle16/27,bullet,7,85,76,8,6,2,1,4,7.5-5,[340]
pl_152,152,pistol,m1911,F. MAS36,bullet,3,70,30,7,3,2,1,1,7.65-32,[341]
pl_153,153,rifle,m1,F. MAS36CR39,bullet,7,85,76,8,6,2,1,4,7.65-32,[341]
pl_154,154,pistol,m1911,MAS38,bullet,3,70,30,7,3,2,1,1,7.5-25,[342]
pl_155,155,mg,mg42,MAC24/29,bullet,8,45,25,50,99,2,3,12,8M86-24,[343]
pl_156,156,rifle,m1,Mle1914,bullet,7,85,76,8,6,2,1,4,8M86-30,[344]
pl_157,157,rifle,m1,T. Mle1914,bullet,7,85,76,8,6,2,1,4,弾種未設定（map / overrides / explicit で要定義）,[]
pl_158,158,gear,part_gear,Jumelles,part,,,,,,,,,補助装備（主兵装弾なし。装填正本: explicit のみ）,[]
pl_159,159,sniper,k98_scope,No1 Mk4,bullet,9,95,72,5,5,2,2,5,380Mk2-1,[351]
pl_160,160,pistol,m1911,No2 Mk2,bullet,3,70,30,7,3,2,1,1,Very-1,[352]
pl_161,161,pistol,m1911,No2 Mk1*,bullet,3,70,30,7,3,2,1,1,Very-1,[352]
pl_162,162,pistol,m1911,No2 Mk1**,bullet,3,70,30,7,3,2,1,1,Very-1,[352]
pl_163,163,pistol,m1911,Webley Mk4,bullet,3,70,30,7,3,2,1,1,Very-1,[352]
pl_164,164,rifle,m1,S&W No2,bullet,7,85,76,8,6,2,1,4,Very-1,[352]
pl_165,165,grenade,nade,Very,shell,4,60,80,1,2,2,0,1,303Br-10,[353]
pl_166,166,rifle,m1,No1 Mk3,bullet,7,85,76,8,6,2,1,4,9Pb-32R,[355]
pl_167,167,rifle,m1,No1 Mk3*,bullet,7,85,76,8,6,2,1,4,9Pb-32R,[355]
pl_168,168,sniper,k98_scope,No4 Mk1,bullet,9,95,72,5,5,2,2,5,9Pb-32R / 7.62N-1,"[355, 365]"
pl_169,169,sniper,k98_scope,No4 Mk1*,bullet,9,95,72,5,5,2,2,5,9Pb-32R / 7.62N-1,"[355, 365]"
pl_170,170,sniper,k98_scope,No4 Mk1(T),bullet,9,95,72,5,5,2,2,5,9Pb-32R / 7.62N-1,"[355, 365]"
pl_171,171,sniper,k98_scope,No3 Mk1*(T),bullet,9,95,72,5,5,2,2,5,9Pb-32R,[355]
pl_172,172,smg,smg_9mm,Sten Mk2,bullet,5,60,41,30,4,2,1,5,303Br-47 / Pk16-100,"[356, 287]"
pl_173,173,smg,smg_9mm,Sten Mk3,bullet,5,60,41,30,4,2,1,5,303Br-47 / Pk16-100,"[356, 287]"
pl_174,174,smg,smg_9mm,Sten Mk5,bullet,5,60,41,30,4,2,1,5,303Br-47 / Pk16-100 / 7.62N-1,"[356, 287, 365]"
pl_175,175,rifle,m1,Lewis Mk1,bullet,7,85,76,8,6,2,1,4,303Br-30,[357]
pl_176,176,mg,mg42,Bren Mk1,bullet,8,45,25,50,99,2,3,12,303Br250,[358]
pl_177,177,mg,mg42,Bren Mk2,bullet,8,45,25,50,99,2,3,12,303Br250,[358]
pl_178,178,mg,mg42,Bren Mk3,bullet,8,45,25,50,99,2,3,12,303Br250,[358]
pl_179,179,mg,mg42,Vickers Mk1,bullet,8,45,25,50,99,2,3,12,7.92 帯仮,"[272, 273, 274, 275, 276, 277, 288, 289, 290, 295, 296, 389]"
pl_180,180,anti_tank,at_rifle,Boys Mk1,bullet,5,60,90,4,2,2,2,6,PIAT-1,[360]
pl_181,181,anti_tank,at_rifle,PIAT,bullet,5,60,90,4,2,2,2,6,at_rifle 非装填/ダミ行（1件。explicit で上書き）,[229]
pl_182,182,rifle,m1,No1 Mk1,bullet,7,85,76,8,6,2,1,4,弾種未設定（map / overrides / explicit で要定義）,[]
pl_183,183,gear,part_gear,Tripod Mk2,part,,,,,,,,,補助装備（主兵装弾なし。装填正本: explicit のみ）,[]
pl_184,184,gear,part_gear,Tripod Mk4,part,,,,,,,,,補助装備（主兵装弾なし。装填正本: explicit のみ）,[]
pl_185,185,mortar,mortarish,No8 Mk1,shell,8,50,120,1,,3,,,55Boys-5,[359]
pl_186,186,gear,part_gear,Binocular,part,,,,,,,,,補助装備（主兵装弾なし。装填正本: explicit のみ）,[]
pl_187,187,gear,part_gear,Note,part,,,,,,,,,補助装備（主兵装弾なし。装填正本: explicit のみ）,[]
pl_188,188,rifle,m1,obr1895g,bullet,7,85,76,8,6,2,1,4,7.62T-8,[366]
pl_189,189,pistol,m1911,TT33,bullet,3,70,30,7,3,2,1,1,7.62-5,[367]
pl_190,190,rifle,m1,obr1891/30g,bullet,7,85,76,8,6,2,1,4,7.62-10,[368]
pl_191,191,rifle,m1,obr1938g,bullet,7,85,76,8,6,2,1,4,7.62-10,[368]
pl_192,192,sniper,k98_scope,obr91/30g-PU,bullet,9,95,72,5,5,2,2,5,7.62-10,[368]
pl_193,193,rifle,m1,obr1944g,bullet,7,85,76,8,6,2,1,4,7.62-10,[368]
pl_194,194,rifle,m1,SVT40,bullet,7,85,76,8,6,2,1,4,7.62T71D / 7.62-10 / 9Pb-8s,"[369, 368, 378]"
pl_195,195,smg,smg_9mm,PPD40,bullet,5,60,41,30,4,2,1,5,7.62T35h,[370]
pl_196,196,smg,smg_9mm,PPSh41,bullet,5,60,41,30,4,2,1,5,7.62T35S / 7.62T71h,"[372, 371]"
pl_197,197,smg,smg_9mm,PPS43,bullet,5,60,41,30,4,2,1,5,7.62-47,[373]
pl_198,198,mg,mg42,DP,bullet,8,45,25,50,99,2,3,12,7.62-250,[374]
pl_199,199,mg,mg42,PM1910,bullet,8,45,25,50,99,2,3,12,7.92 帯仮,"[272, 273, 274, 275, 276, 277, 288, 289, 290, 295, 296, 389]"
pl_200,200,rifle,m1,DShK,bullet,7,85,76,8,6,2,1,4,弾種未設定（map / overrides / explicit で要定義）,[]
pl_201,201,rifle,m1,pat.1910,bullet,7,85,76,8,6,2,1,4,12.7-50,[375]
pl_202,202,rifle,m1,pat.DShK,bullet,7,85,76,8,6,2,1,4,弾種未設定（map / overrides / explicit で要定義）,[]
pl_203,203,rifle,m1,SP M12,bullet,7,85,76,8,6,2,1,4,9Pb-32s,[379]
pl_204,204,smg,smg_9mm,MP34(o),bullet,5,60,41,30,4,2,1,5,8Aut-25,[380]
pl_205,205,rifle,m1,M30,bullet,7,85,76,8,6,2,1,4,8Aut-250,[381]
pl_206,206,rifle,m1,M07/12,bullet,7,85,76,8,6,2,1,4,弾種未設定（map / overrides / explicit で要定義）,[]
pl_207,207,rifle,m1,M07 Laf,bullet,7,85,76,8,6,2,1,4,弾種未設定（map / overrides / explicit で要定義）,[]
pl_208,208,rifle,m1,M07 PatrK,bullet,7,85,76,8,6,2,1,4,9BLg-7,[382]
pl_209,209,rifle,m1,Mle1903,bullet,7,85,76,8,6,2,1,4,32ACP-9B,[383]
pl_210,210,rifle,m1,Mle10/22,bullet,7,85,76,8,6,2,1,4,9Pb-13,[384]
pl_211,211,rifle,m1,GP35,bullet,7,85,76,8,6,2,1,4,380ACP8A,[385]
pl_212,212,pistol,m1911,CZ vz24,bullet,3,70,30,7,3,2,1,1,32ACP-8C,[386]
pl_213,213,pistol,m1911,CZ vz27,bullet,3,70,30,7,3,2,1,1,380ACP8B,[387]
pl_214,214,rifle,m1,CZ vz38,bullet,7,85,76,8,6,2,1,4,9Pb-30Z,[388]
pl_215,215,rifle,m1,ZK383,bullet,7,85,76,8,6,2,1,4,7.92-20Z,[389]
pl_216,216,rifle,m1,lk ZB vz26,bullet,7,85,76,8,6,2,1,4,9Pb-8R,[390]
pl_217,217,rifle,m1,tk ZB vz37,bullet,7,85,76,8,6,2,1,4,弾種未設定（map / overrides / explicit で要定義）,[]
pl_218,218,rifle,m1,ZB206,bullet,7,85,76,8,6,2,1,4,弾種未設定（map / overrides / explicit で要定義）,[]
pl_219,219,rifle,m1,ZB308,bullet,7,85,76,8,6,2,1,4,弾種未設定（map / overrides / explicit で要定義）,[]
pl_220,220,pistol,m1911,VIS wz35,bullet,3,70,30,7,3,2,1,1,8Mrzk-5,[391]
pl_221,221,rifle,m1,wz35,bullet,7,85,76,8,6,2,1,4,9Largo-8,[392]
pl_222,222,pistol,m1911,Astra400,bullet,3,70,30,7,3,2,1,1,20SS-5,[393]
pl_223,223,pistol,m1911,Astra903,bullet,3,70,30,7,3,2,1,1,9Pb-8L / 7.63-20b / 7.63-10b,"[258, 257, 256]"
pl_224,224,anti_tank,at_rifle,S-18/100,bullet,5,60,90,4,2,2,2,6,20SS-10,[394]
pl_228,228,grenade,nade,AN-M8-1,shell,4,60,80,1,2,2,0,1,nade 非装填/ダミ行（1件。explicit で上書き）,[229]
pl_234,234,rifle,m1,45ACP20T,bullet,7,85,76,8,6,2,1,4,弾種未設定（map / overrides / explicit で要定義）,[]
